iter	Passed	Remaining
0	144	144507
1	145	72578
2	146	48767
3	148	37050
4	150	29961
5	152	25212
6	154	21854
7	156	19457
8	158	17473
9	159	15835
10	161	14540
11	163	13422
12	164	12488
13	166	11715
14	167	11015
15	169	10418
16	171	9892
17	172	9426
18	174	8996
19	175	8589
20	176	8218
21	177	7878
22	178	7572
23	179	7295
24	180	7034
25	181	6791
26	182	6559
27	183	6354
28	184	6161
29	184	5978
30	186	5819
31	187	5684
32	188	5532
33	189	5388
34	190	5247
35	190	5111
36	191	4990
37	192	4868
38	193	4756
39	193	4647
40	194	4545
41	194	4446
42	195	4358
43	196	4270
44	197	4184
45	197	4103
46	198	4021
47	199	3955
48	200	3888
49	201	3830
50	202	3765
51	203	3701
52	203	3641
53	204	3583
54	205	3526
55	205	3471
56	206	3417
57	207	3363
58	207	3312
59	208	3261
60	208	3214
61	209	3170
62	210	3126
63	210	3083
64	211	3044
65	212	3004
66	213	2970
67	214	2936
68	214	2900
69	215	2867
70	216	2837
71	219	2829
72	220	2797
73	220	2765
74	221	2734
75	222	2710
76	223	2684
77	224	2657
78	225	2628
79	226	2605
80	227	2581
81	228	2557
82	228	2528
83	229	2504
84	230	2484
85	232	2465
86	232	2444
87	233	2421
88	234	2401
89	236	2386
90	236	2366
91	237	2346
92	238	2324
93	238	2303
94	239	2284
95	240	2268
96	241	2249
97	242	2230
98	242	2210
99	243	2195
100	244	2179
101	245	2164
102	246	2148
103	247	2131
104	248	2114
105	248	2097
106	249	2080
107	249	2063
108	250	2047
109	251	2034
110	252	2018
111	252	2003
112	253	1988
113	254	1974
114	254	1959
115	255	1944
116	255	1930
117	256	1915
118	256	1902
119	257	1890
120	258	1881
121	259	1869
122	260	1858
123	261	1846
124	262	1834
125	262	1822
126	263	1811
127	264	1799
128	265	1790
129	265	1778
130	266	1767
131	267	1756
132	267	1745
133	268	1735
134	269	1723
135	270	1715
136	270	1705
137	271	1695
138	271	1684
139	272	1675
140	274	1670
141	275	1664
142	276	1656
143	277	1649
144	278	1641
145	279	1632
146	279	1624
147	280	1615
148	281	1607
149	282	1600
150	283	1594
151	284	1586
152	285	1578
153	285	1569
154	286	1560
155	287	1552
156	288	1548
157	289	1542
158	290	1535
159	291	1528
160	291	1520
161	292	1512
162	293	1506
163	294	1499
164	294	1492
165	295	1484
166	296	1477
167	296	1470
168	297	1463
169	298	1456
170	299	1449
171	299	1444
172	300	1437
173	301	1430
174	302	1425
175	303	1419
176	304	1416
177	305	1410
178	306	1404
179	306	1398
180	307	1392
181	308	1388
182	309	1381
183	310	1375
184	310	1369
185	311	1363
186	312	1356
187	312	1350
188	313	1345
189	314	1339
190	314	1333
191	315	1327
192	316	1321
193	316	1316
194	318	1312
195	319	1309
196	320	1306
197	321	1301
198	322	1296
199	322	1291
200	323	1286
201	324	1281
202	325	1276
203	326	1272
204	326	1267
205	327	1262
206	328	1257
207	328	1251
208	329	1246
209	330	1243
210	331	1240
211	332	1236
212	333	1233
213	334	1230
214	335	1225
215	336	1222
216	337	1218
217	338	1214
218	339	1209
219	339	1204
220	340	1200
221	341	1195
222	341	1189
223	342	1186
224	343	1182
225	344	1178
226	344	1174
227	345	1171
228	347	1168
229	348	1165
230	349	1162
231	350	1160
232	351	1156
233	352	1152
234	352	1148
235	353	1144
236	354	1142
237	357	1144
238	359	1143
239	359	1139
240	361	1138
241	363	1137
242	365	1137
243	366	1136
244	367	1133
245	368	1129
246	369	1127
247	371	1127
248	373	1125
249	374	1123
250	375	1121
251	377	1119
252	377	1115
253	378	1113
254	380	1110
255	381	1107
256	385	1115
257	386	1111
258	387	1109
259	389	1107
260	390	1105
261	392	1106
262	393	1103
263	394	1100
264	395	1097
265	396	1094
266	397	1091
267	398	1088
268	400	1087
269	401	1085
270	403	1084
271	404	1082
272	405	1080
273	406	1077
274	407	1075
275	409	1073
276	409	1069
277	410	1066
278	412	1065
279	413	1062
280	413	1058
281	414	1055
282	415	1052
283	416	1049
284	417	1047
285	419	1046
286	420	1045
287	421	1042
288	422	1040
289	423	1036
290	424	1034
291	426	1033
292	427	1030
293	427	1027
294	428	1023
295	429	1021
296	430	1019
297	431	1017
298	432	1014
299	433	1011
300	434	1008
301	435	1006
302	436	1004
303	437	1001
304	438	998
305	439	995
306	439	993
307	440	990
308	441	987
309	442	985
310	443	983
311	444	980
312	445	978
313	447	976
314	448	974
315	448	971
316	449	968
317	450	965
318	450	962
319	451	959
320	452	956
321	452	953
322	453	950
323	454	947
324	455	945
325	455	942
326	456	938
327	456	936
328	457	933
329	458	930
330	458	927
331	459	924
332	461	924
333	462	922
